,current_day,clound_min,clound_max,clound_std,clound_median
252,2019-9-10,1.0,4.0,1.1381803659589922,4.0
253,2019-9-11,1.0,4.0,1.1677484162422844,4.0
254,2019-9-12,1.0,4.0,1.4354811251305468,3.0
255,2019-9-13,1.0,4.0,1.378954368902449,4.0
256,2019-9-14,4.0,4.0,0.0,4.0
257,2019-9-15,4.0,4.0,0.0,4.0
258,2019-9-16,1.0,4.0,0.8660254037844386,4.0
259,2019-9-17,1.0,4.0,1.5050420310248864,3.0
260,2019-9-18,1.0,4.0,0.8660254037844386,4.0
261,2019-9-19,4.0,4.0,0.0,4.0
262,2019-9-20,4.0,4.0,0.0,4.0
263,2019-9-21,1.0,4.0,1.0836246694508318,4.0
264,2019-9-22,1.0,4.0,1.4354811251305468,3.0
265,2019-9-23,1.0,4.0,1.3371158468430429,3.5
266,2019-9-24,1.0,4.0,1.3568010505999362,3.0
267,2019-9-25,1.0,4.0,1.1934162828797101,2.0
268,2019-9-26,1.0,4.0,1.2401124093721454,2.0
269,2019-9-27,1.0,4.0,1.2673044646258473,3.0
270,2019-9-28,1.0,4.0,1.2309149097933272,2.0
271,2019-9-29,1.0,4.0,1.4354811251305468,3.0
272,2019-9-30,1.0,4.0,1.3568010505999362,2.0
273,2019-10-1,1.0,4.0,1.3026778945578592,2.0
274,2019-10-2,1.0,4.0,1.2673044646258473,2.0
275,2019-10-3,4.0,4.0,0.0,4.0
276,2019-10-4,1.0,4.0,1.2792042981336627,1.5
277,2019-10-5,1.0,4.0,1.2401124093721454,2.0
278,2019-10-6,1.0,4.0,1.3568010505999362,2.0
279,2019-10-7,1.0,4.0,1.497472618255253,1.5
280,2019-10-8,1.0,4.0,1.4433756729740645,2.0
281,2019-10-9,1.0,4.0,1.0836246694508318,2.0
282,2019-10-10,1.0,4.0,1.1934162828797101,3.0
283,2019-10-11,1.0,4.0,1.4354811251305468,3.0
284,2019-10-12,1.0,4.0,1.3568010505999362,3.0
285,2019-10-13,1.0,4.0,1.2309149097933272,4.0
286,2019-10-14,1.0,4.0,1.1677484162422844,4.0
287,2019-10-15,1.0,4.0,1.0730867399773196,2.0
288,2019-10-16,1.0,4.0,1.1645001528813148,4.0
289,2019-10-17,1.0,4.0,1.2401124093721454,2.0
290,2019-10-18,1.0,4.0,1.1934162828797101,2.0
291,2019-10-19,1.0,4.0,1.044465935734187,2.0
292,2019-10-20,1.0,4.0,0.996204919895622,2.0
293,2019-10-21,1.0,4.0,1.044465935734187,2.0
294,2019-10-22,1.0,4.0,1.3113721705515065,1.0
295,2019-10-23,0.0,4.0,1.2309149097933272,1.0
