,current_day,cloud,temp_max,temp_min
660,2020-10-22,mostly sunny,21°,14°
661,2020-10-23,scattered showers,15°,14°
662,2020-10-24,cloudy,18°,9°
663,2020-10-25,mostly sunny,20°,7°
664,2020-10-26,cloudy,11°,7°
665,2020-10-27,cloudy,13°,4°
666,2020-10-28,cloudy,16°,11°
667,2020-10-29,cloudy,14°,11°
668,2020-10-30,cloudy,17°,10°
669,2020-10-31,mostly sunny,17°,5°
670,2020-11-1,cloudy,17°,10°
671,2020-11-2,cloudy,22°,17°
672,2020-11-3,cloudy,15°,9°
673,2020-11-4,mostly sunny,12°,5°
674,2020-11-5,mostly sunny,12°,4°
675,2020-11-6,mostly sunny,12°,1°
676,2020-11-7,foggy,7°,1°
677,2020-11-8,foggy,4°,3°
678,2020-11-9,foggy,16°,5°
679,2020-11-10,foggy,8°,3°
680,2020-11-11,foggy,9°,7°
681,2020-11-12,cloudy,13°,5°
682,2020-11-13,mostly sunny,15°,3°
683,2020-11-14,mostly sunny,18°,5°
684,2020-11-15,mostly sunny,18°,7°
685,2020-11-16,cloudy,13°,9°
686,2020-11-17,mostly sunny,13°,4°
687,2020-11-18,mostly sunny,14°,1°
688,2020-11-19,cloudy,12°,4°
689,2020-11-20,mostly sunny,9°,-1°
690,2020-11-21,foggy,5°,-3°
691,2020-11-22,foggy,8°,-3°
692,2020-11-23,cloudy,9°,3°
693,2020-11-24,foggy,5°,0°
694,2020-11-25,foggy,3°,0°
695,2020-11-26,foggy,5°,0°
696,2020-11-27,foggy,8°,2°
697,2020-11-28,foggy,3°,1°
698,2020-11-29,cloudy,4°,-3°
699,2020-11-30,foggy,2°,-6°
700,2020-12-1,cloudy,4°,0°
701,2020-12-2,cloudy,3°,2°
702,2020-12-3,cloudy,6°,1°
703,2020-12-4,scattered showers,7°,3°
704,2020-12-5,cloudy,4°,2°
705,2020-12-6,cloudy,5°,3°
706,2020-12-7,cloudy,6°,-1°
707,2020-12-8,foggy,5°,-2°
708,2020-12-9,cloudy,4°,1°
709,2020-12-10,cloudy,3°,-2°
710,2020-12-11,cloudy,5°,-2°
711,2020-12-12,scattered showers,8°,4°
712,2020-12-13,cloudy,9°,3°
713,2020-12-14,mostly sunny,9°,1°
